Sample,PR,Multi_funcion_nokegg_noVB12,Pesticide_usage,Nitrogen_Fertilizer_Application,Phosphorus_Fertilizer_Application,Agriculture_Expansion,Agriculture_forestry_and_fishing_value_added,Terrestrial_and_marine_protected_areas,Crop_Harvested,Urban_Expansion,CO2_emissions__metric_tons_per_capita_,Energy_use__kg_of_oil_equivalent_per_capita_,GDP,GNI_PPP__current_international,Industry__including_construction,Population_density,TS_9,TP_9,TK_9,TC_9,PHH2O_9,OC_9,ECE_9,CEC_9,CACO3_9,TN_9,BD_9,Annual_Mean_Temperature,Annual_Precipitation,Mean_Diurnal_Range
ERR1700690,0,0.874704677,0.12742086,0.125364948,0.107510594,0.589950027,0.021306312,0.149259565,0,0.48948935,0.980207565,1,0.089208084,0.082537768,0.060015399,0.001774791,0.083749144,0.232981227,0.478777708,0.043681447,0.507782766,0.070445302,0.030158205,0.129872595,0.375769173,0.078131664,0.769796911,0.154034542,0.180728907,0.60995154
ERR1700691,0,0.775244024,0.12742086,0.125364948,0.107510594,0.589950027,0.021306312,0.149259565,0,0.48948935,0.980207565,1,0.089208084,0.082537768,0.060015399,0.001774791,0.083749144,0.232981227,0.478777708,0.043681447,0.507782766,0.070445302,0.030158205,0.129872595,0.375769173,0.078131664,0.769796911,0.154034542,0.180728907,0.60995154
ERR1700693,0,0.879765832,0.12742086,0.125364948,0.107510594,0.589950027,0.021306312,0.149259565,0,0.48948935,0.980207565,1,0.089208084,0.082537768,0.060015399,0.001774791,0.083749144,0.232981227,0.478777708,0.043681447,0.507782766,0.070445302,0.030158205,0.129872595,0.375769173,0.078131664,0.769796911,0.154034542,0.180728907,0.60995154
ERR1700699,0,0.715273501,0.12742086,0.12638257,0.108801025,0.868686869,0.021306312,0.149259565,0.007032138,0.438857472,0.980207565,1,0.089208084,0.082537768,0.060015399,0.001774791,0.083749144,0.366738885,0.655003818,0.059068436,0.823049679,0.027848312,0.131892316,0.147273847,0.289323457,0.103194514,0.829700937,0.480874663,0.341737394,0.700655743
ERR1700700,0,0.62485434,0.12742086,0.12638257,0.108801025,0.868686869,0.021306312,0.149259565,0.007032138,0.438857472,0.980207565,1,0.089208084,0.082537768,0.060015399,0.001774791,0.083749144,0.366738885,0.655003818,0.059068436,0.823049679,0.027848312,0.131892316,0.147273847,0.289323457,0.103194514,0.829700937,0.480874663,0.341737394,0.700655743
ERR1700701,0,0.849098944,0.12742086,0.12638257,0.108801025,0.868686869,0.021306312,0.149259565,0.007032138,0.438857472,0.980207565,1,0.089208084,0.082537768,0.060015399,0.001774791,0.083749144,0.366738885,0.655003818,0.059068436,0.823049679,0.027848312,0.131892316,0.147273847,0.289323457,0.103194514,0.829700937,0.480874663,0.341737394,0.700655743
ERR1700702,0,0.691775995,0.12742086,0.12638257,0.108801025,0.868686869,0.021306312,0.149259565,0.007032138,0.438857472,0.980207565,1,0.089208084,0.082537768,0.060015399,0.001774791,0.083749144,0.366738885,0.655003818,0.059068436,0.823049679,0.027848312,0.131892316,0.147273847,0.289323457,0.103194514,0.829700937,0.480874663,0.341737394,0.700655743
ERR1700703,0,0.675573688,0.12742086,0.12638257,0.108801025,0.868686869,0.021306312,0.149259565,0.007032138,0.438857472,0.980207565,1,0.089208084,0.082537768,0.060015399,0.001774791,0.083749144,0.366738885,0.655003818,0.059068436,0.823049679,0.027848312,0.131892316,0.147273847,0.289323457,0.103194514,0.829700937,0.480874663,0.341737394,0.700655743
ERR1700704,0,0.946256489,0.12742086,0.12638257,0.108801025,0.868686869,0.021306312,0.149259565,0.007032138,0.438857472,0.980207565,1,0.089208084,0.082537768,0.060015399,0.001774791,0.083749144,0.366738885,0.655003818,0.059068436,0.823049679,0.027848312,0.131892316,0.147273847,0.289323457,0.103194514,0.829700937,0.480874663,0.341737394,0.700655743
ERR1700705,0,0.705575675,0.12742086,0.12638257,0.108801025,0.868686869,0.021306312,0.149259565,0.007032138,0.438857472,0.980207565,1,0.089208084,0.082537768,0.060015399,0.001774791,0.083749144,0.366738885,0.655003818,0.059068436,0.823049679,0.027848312,0.131892316,0.147273847,0.289323457,0.103194514,0.829700937,0.480874663,0.341737394,0.700655743
ERR1700706,0,0.746691119,0.12742086,0.12638257,0.108801025,0.868686869,0.021306312,0.149259565,0.007032138,0.438857472,0.980207565,1,0.089208084,0.082537768,0.060015399,0.001774791,0.083749144,0.366738885,0.655003818,0.059068436,0.823049679,0.027848312,0.131892316,0.147273847,0.289323457,0.103194514,0.829700937,0.480874663,0.341737394,0.700655743
ERR1700707,0,1.091584043,0.12742086,0.12638257,0.108801025,0.868686869,0.021306312,0.149259565,0.007032138,0.438857472,0.980207565,1,0.089208084,0.082537768,0.060015399,0.001774791,0.083749144,0.366738885,0.655003818,0.059068436,0.823049679,0.027848312,0.131892316,0.147273847,0.289323457,0.103194514,0.829700937,0.480874663,0.341737394,0.700655743
ERR1700708,0,0.699101115,0.12742086,0.12638257,0.108801025,0.868686869,0.021306312,0.149259565,0.007032138,0.438857472,0.980207565,1,0.089208084,0.082537768,0.060015399,0.001774791,0.083749144,0.366738885,0.655003818,0.059068436,0.823049679,0.027848312,0.131892316,0.147273847,0.289323457,0.103194514,0.829700937,0.480874663,0.341737394,0.700655743
ERR1700709,0,0.984806472,0.12742086,0.12638257,0.108801025,0.868686869,0.021306312,0.149259565,0.007032138,0.438857472,0.980207565,1,0.089208084,0.082537768,0.060015399,0.001774791,0.083749144,0.366738885,0.655003818,0.059068436,0.823049679,0.027848312,0.131892316,0.147273847,0.289323457,0.103194514,0.829700937,0.480874663,0.341737394,0.700655743
ERR1700710,0,0.972853367,0.12742086,0.12638257,0.108801025,0.868686869,0.021306312,0.149259565,0.007032138,0.438857472,0.980207565,1,0.089208084,0.082537768,0.060015399,0.001774791,0.083749144,0.366738885,0.655003818,0.059068436,0.823049679,0.027848312,0.131892316,0.147273847,0.289323457,0.103194514,0.829700937,0.480874663,0.341737394,0.700655743
ERR1700711,0,0.695472376,0.12742086,0.12638257,0.108801025,0.868686869,0.021306312,0.149259565,0.007032138,0.438857472,0.980207565,1,0.089208084,0.082537768,0.060015399,0.001774791,0.083749144,0.366738885,0.655003818,0.059068436,0.823049679,0.027848312,0.131892316,0.147273847,0.289323457,0.103194514,0.829700937,0.480874663,0.341737394,0.700655743
ERR1700712,0,0.966714451,0.12742086,0.12638257,0.108801025,0.868686869,0.021306312,0.149259565,0.007032138,0.438857472,0.980207565,1,0.089208084,0.082537768,0.060015399,0.001774791,0.083749144,0.366738885,0.655003818,0.059068436,0.823049679,0.027848312,0.131892316,0.147273847,0.289323457,0.103194514,0.829700937,0.480874663,0.341737394,0.700655743
ERR1700713,0,0.693396311,0.12742086,0.12638257,0.108801025,0.868686869,0.021306312,0.149259565,0.007032138,0.438857472,0.980207565,1,0.089208084,0.082537768,0.060015399,0.001774791,0.083749144,0.366738885,0.655003818,0.059068436,0.823049679,0.027848312,0.131892316,0.147273847,0.289323457,0.103194514,0.829700937,0.480874663,0.341737394,0.700655743
ERR1700714,0,0.811058821,0.12742086,0.12638257,0.108801025,0.868686869,0.021306312,0.149259565,0.007032138,0.438857472,0.980207565,1,0.089208084,0.082537768,0.060015399,0.001774791,0.083749144,0.366738885,0.655003818,0.059068436,0.823049679,0.027848312,0.131892316,0.147273847,0.289323457,0.103194514,0.829700937,0.480874663,0.341737394,0.700655743
ERR1700722,0,0.927610767,0.12742086,0.125536395,0.107710833,0.594765808,0.021306312,0.149259565,0.00154812,0.497029873,0.980207565,1,0.089208084,0.082537768,0.060015399,0.001774791,0.084955734,0.068959703,0.072712525,0.048646992,0,0.009923124,0.008023223,0.013231702,0.355105671,0.020529437,1,0.269913124,0.228157763,0.471124909
ERR1700723,0,0.680142354,0.12742086,0.125536395,0.107710833,0.594765808,0.021306312,0.149259565,0.00154812,0.497029873,0.980207565,1,0.089208084,0.082537768,0.060015399,0.001774791,0.084955734,0.068959703,0.072712525,0.048646992,0,0.009923124,0.008023223,0.013231702,0.355105671,0.020529437,1,0.269913124,0.228157763,0.471124909
ERR1700727,0,0.788208219,0.12742086,0.125536395,0.107710833,0.594765808,0.021306312,0.149259565,0.00154812,0.497029873,0.980207565,1,0.089208084,0.082537768,0.060015399,0.001774791,0.084955734,0.068959703,0.072712525,0.048646992,0,0.009923124,0.008023223,0.013231702,0.355105671,0.020529437,1,0.269913124,0.228157763,0.471124909
ERR1700728,0,0.887596366,0.12742086,0.125536395,0.107710833,0.594765808,0.021306312,0.149259565,0.00154812,0.497029873,0.980207565,1,0.089208084,0.082537768,0.060015399,0.001774791,0.084955734,0.068959703,0.072712525,0.048646992,0,0.009923124,0.008023223,0.013231702,0.355105671,0.020529437,1,0.269913124,0.228157763,0.471124909
ERR1700729,0,0.70507238,0.12742086,0.125536395,0.107710833,0.594765808,0.021306312,0.149259565,0.00154812,0.497029873,0.980207565,1,0.089208084,0.082537768,0.060015399,0.001774791,0.084955734,0.068959703,0.072712525,0.048646992,0,0.009923124,0.008023223,0.013231702,0.355105671,0.020529437,1,0.269913124,0.228157763,0.471124909
ERR1700733,0,0.745016931,0.12742086,0.125536395,0.107710833,0.594765808,0.021306312,0.149259565,0.00154812,0.497029873,0.980207565,1,0.089208084,0.082537768,0.060015399,0.001774791,0.084955734,0.068959703,0.072712525,0.048646992,0,0.009923124,0.008023223,0.013231702,0.355105671,0.020529437,1,0.269913124,0.228157763,0.471124909
ERR1700734,0,0.774632211,0.12742086,0.125536395,0.107710833,0.594765808,0.021306312,0.149259565,0.00154812,0.497029873,0.980207565,1,0.089208084,0.082537768,0.060015399,0.001774791,0.084955734,0.068959703,0.072712525,0.048646992,0,0.009923124,0.008023223,0.013231702,0.355105671,0.020529437,1,0.269913124,0.228157763,0.471124909
ERR1700735,0,0.723750289,0.12742086,0.125536395,0.107710833,0.594765808,0.021306312,0.149259565,0.00154812,0.497029873,0.980207565,1,0.089208084,0.082537768,0.060015399,0.001774791,0.084955734,0.068959703,0.072712525,0.048646992,0,0.009923124,0.008023223,0.013231702,0.355105671,0.020529437,1,0.269913124,0.228157763,0.471124909
ERR1700739,2.678875979,0.738445418,1,0.125348357,0.107488345,0.232323232,0.006638456,0.598987952,0.132599532,0.472506072,0.966406357,0.888279988,1,0.980864762,0.025158287,0.063795994,0.087476122,0.214776013,0.466575714,0.058972185,0.704222251,0.087438666,0.058615162,0.288415252,0.029712634,0.162899498,0.890892421,0.726028432,0.272091862,0.619522163
ERR1700740,2.678875979,0.977508574,1,0.125348357,0.107488345,0.232323232,0.006638456,0.598987952,0.132599532,0.472506072,0.966406357,0.888279988,1,0.980864762,0.025158287,0.063795994,0.087476122,0.214776013,0.466575714,0.058972185,0.704222251,0.087438666,0.058615162,0.288415252,0.029712634,0.162899498,0.890892421,0.726028432,0.272091862,0.619522163
ERR1700741,2.678875979,0.805950875,1,0.125348357,0.107488345,0.232323232,0.006638456,0.598987952,0.132599532,0.472506072,0.966406357,0.888279988,1,0.980864762,0.025158287,0.063795994,0.087476122,0.214776013,0.466575714,0.058972185,0.704222251,0.087438666,0.058615162,0.288415252,0.029712634,0.162899498,0.890892421,0.726028432,0.272091862,0.619522163
ERR1700742,2.678875979,0.740106126,1,0.125348357,0.107488345,0.232323232,0.006638456,0.598987952,0.132599532,0.472506072,0.966406357,0.888279988,1,0.980864762,0.025158287,0.063795994,0.087476122,0.214776013,0.466575714,0.058972185,0.704222251,0.087438666,0.058615162,0.288415252,0.029712634,0.162899498,0.890892421,0.726028432,0.272091862,0.619522163
ERR1700743,2.678875979,0.895074812,1,0.125348357,0.107488345,0.232323232,0.006638456,0.598987952,0.132599532,0.472506072,0.966406357,0.888279988,1,0.980864762,0.025158287,0.063795994,0.087476122,0.214776013,0.466575714,0.058972185,0.704222251,0.087438666,0.058615162,0.288415252,0.029712634,0.162899498,0.890892421,0.726028432,0.272091862,0.619522163
ERR1700744,2.678875979,0.764769749,1,0.125348357,0.107488345,0.232323232,0.006638456,0.598987952,0.132599532,0.472506072,0.966406357,0.888279988,1,0.980864762,0.025158287,0.063795994,0.087476122,0.214776013,0.466575714,0.058972185,0.704222251,0.087438666,0.058615162,0.288415252,0.029712634,0.162899498,0.890892421,0.726028432,0.272091862,0.619522163
ERR1700745,2.678875979,0.767739566,1,0.125348357,0.107488345,0.232323232,0.006638456,0.598987952,0.132599532,0.472506072,0.966406357,0.888279988,1,0.980864762,0.025158287,0.063795994,0.087476122,0.214776013,0.466575714,0.058972185,0.704222251,0.087438666,0.058615162,0.288415252,0.029712634,0.162899498,0.890892421,0.726028432,0.272091862,0.619522163
ERR1700746,2.678875979,0.739248312,1,0.125348357,0.107488345,0.232323232,0.006638456,0.598987952,0.132599532,0.472506072,0.966406357,0.888279988,1,0.980864762,0.025158287,0.063795994,0.087476122,0.214776013,0.466575714,0.058972185,0.704222251,0.087438666,0.058615162,0.288415252,0.029712634,0.162899498,0.890892421,0.726028432,0.272091862,0.619522163
ERR1700747,2.678875979,0.767417905,1,0.125348357,0.107488345,0.232323232,0.006638456,0.598987952,0.132599532,0.472506072,0.966406357,0.888279988,1,0.980864762,0.025158287,0.063795994,0.087476122,0.214776013,0.466575714,0.058972185,0.704222251,0.087438666,0.058615162,0.288415252,0.029712634,0.162899498,0.890892421,0.726028432,0.272091862,0.619522163
ERR1700748,2.678875979,0.776866948,1,0.125348357,0.107488345,0.232323232,0.006638456,0.598987952,0.132599532,0.472506072,0.966406357,0.888279988,1,0.980864762,0.025158287,0.063795994,0.087476122,0.214776013,0.466575714,0.058972185,0.704222251,0.087438666,0.058615162,0.288415252,0.029712634,0.162899498,0.890892421,0.726028432,0.272091862,0.619522163
ERR1700749,2.678875979,0.987476232,1,0.125348357,0.107488345,0.232323232,0.006638456,0.598987952,0.132599532,0.472506072,0.966406357,0.888279988,1,0.980864762,0.025158287,0.063795994,0.087476122,0.214776013,0.466575714,0.058972185,0.704222251,0.087438666,0.058615162,0.288415252,0.029712634,0.162899498,0.890892421,0.726028432,0.272091862,0.619522163
ERR1700750,2.678875979,0.761359543,1,0.125348357,0.107488345,0.232323232,0.006638456,0.598987952,0.132599532,0.472506072,0.966406357,0.888279988,1,0.980864762,0.025158287,0.063795994,0.087476122,0.214776013,0.466575714,0.058972185,0.704222251,0.087438666,0.058615162,0.288415252,0.029712634,0.162899498,0.890892421,0.726028432,0.272091862,0.619522163
ERR1700751,2.678875979,0.760245206,1,0.125348357,0.107488345,0.232323232,0.006638456,0.598987952,0.132599532,0.472506072,0.966406357,0.888279988,1,0.980864762,0.025158287,0.063795994,0.087476122,0.214776013,0.466575714,0.058972185,0.704222251,0.087438666,0.058615162,0.288415252,0.029712634,0.162899498,0.890892421,0.726028432,0.272091862,0.619522163
ERR1700752,2.678875979,0.755237781,1,0.125348357,0.107488345,0.232323232,0.006638456,0.598987952,0.132599532,0.472506072,0.966406357,0.888279988,1,0.980864762,0.025158287,0.063795994,0.087476122,0.214776013,0.466575714,0.058972185,0.704222251,0.087438666,0.058615162,0.288415252,0.029712634,0.162899498,0.890892421,0.726028432,0.272091862,0.619522163
ERR1700753,2.678875979,0.781879235,1,0.125348357,0.107488345,0.232323232,0.006638456,0.598987952,0.132599532,0.472506072,0.966406357,0.888279988,1,0.980864762,0.025158287,0.063795994,0.087476122,0.214776013,0.466575714,0.058972185,0.704222251,0.087438666,0.058615162,0.288415252,0.029712634,0.162899498,0.890892421,0.726028432,0.272091862,0.619522163
ERR1700754,2.678875979,0.746030559,1,0.125348357,0.107488345,0.232323232,0.006638456,0.598987952,0.132599532,0.472506072,0.966406357,0.888279988,1,0.980864762,0.025158287,0.063795994,0.087476122,0.214776013,0.466575714,0.058972185,0.704222251,0.087438666,0.058615162,0.288415252,0.029712634,0.162899498,0.890892421,0.726028432,0.272091862,0.619522163
ERR1700755,2.678875979,0.861581243,1,0.125348357,0.107488345,0.232323232,0.006638456,0.598987952,0.132599532,0.472506072,0.966406357,0.888279988,1,0.980864762,0.025158287,0.063795994,0.087476122,0.214776013,0.466575714,0.058972185,0.704222251,0.087438666,0.058615162,0.288415252,0.029712634,0.162899498,0.890892421,0.726028432,0.272091862,0.619522163
ERR1700756,2.678875979,0.742138955,1,0.125348357,0.107488345,0.232323232,0.006638456,0.598987952,0.132599532,0.472506072,0.966406357,0.888279988,1,0.980864762,0.025158287,0.063795994,0.087476122,0.214776013,0.466575714,0.058972185,0.704222251,0.087438666,0.058615162,0.288415252,0.029712634,0.162899498,0.890892421,0.726028432,0.272091862,0.619522163
ERR1700757,2.678875979,0.738242399,1,0.125348357,0.107488345,0.232323232,0.006638456,0.598987952,0.132599532,0.472506072,0.966406357,0.888279988,1,0.980864762,0.025158287,0.063795994,0.087476122,0.214776013,0.466575714,0.058972185,0.704222251,0.087438666,0.058615162,0.288415252,0.029712634,0.162899498,0.890892421,0.726028432,0.272091862,0.619522163
ERR1700758,2.678875979,0.8758739,1,0.125348357,0.107488345,0.232323232,0.006638456,0.598987952,0.132599532,0.472506072,0.966406357,0.888279988,1,0.980864762,0.025158287,0.063795994,0.087476122,0.214776013,0.466575714,0.058972185,0.704222251,0.087438666,0.058615162,0.288415252,0.029712634,0.162899498,0.890892421,0.726028432,0.272091862,0.619522163
ERR1700759,2.678875979,0.732071895,1,0.125348357,0.107488345,0.232323232,0.006638456,0.598987952,0.132599532,0.472506072,0.966406357,0.888279988,1,0.980864762,0.025158287,0.063795994,0.087476122,0.214776013,0.466575714,0.058972185,0.704222251,0.087438666,0.058615162,0.288415252,0.029712634,0.162899498,0.890892421,0.726028432,0.272091862,0.619522163
ERR1700760,2.678875979,0.754795793,1,0.125348357,0.107488345,0.232323232,0.006638456,0.598987952,0.132599532,0.472506072,0.966406357,0.888279988,1,0.980864762,0.025158287,0.063795994,0.087476122,0.214776013,0.466575714,0.058972185,0.704222251,0.087438666,0.058615162,0.288415252,0.029712634,0.162899498,0.890892421,0.726028432,0.272091862,0.619522163
ERR1700761,2.678875979,0.923251679,1,0.125348357,0.107488345,0.232323232,0.006638456,0.598987952,0.132599532,0.472506072,0.966406357,0.888279988,1,0.980864762,0.025158287,0.063795994,0.087476122,0.214776013,0.466575714,0.058972185,0.704222251,0.087438666,0.058615162,0.288415252,0.029712634,0.162899498,0.890892421,0.726028432,0.272091862,0.619522163
ERR1742252,2.701630238,0.858973654,0.12742086,0.127909003,0.110091457,0.131313131,0.021306312,0.149259565,0,0.443363319,0.980207565,1,0.089208084,0.082537768,0.060015399,0.001774791,0.08312159,0.232957593,0.593547249,0.040085497,0.660266963,0.113881184,0.004275388,0.211954853,0.00373266,0.116730738,0.722608348,0.266249711,0.114827758,0.478890722
ERR1742253,2.701630238,0.846894004,0.12742086,0.127909003,0.110091457,0.131313131,0.021306312,0.149259565,0,0.443363319,0.980207565,1,0.089208084,0.082537768,0.060015399,0.001774791,0.08312159,0.232957593,0.593547249,0.040085497,0.660266963,0.113881184,0.004275388,0.211954853,0.00373266,0.116730738,0.722608348,0.266249711,0.114827758,0.478890722
ERR1742254,2.701630238,0.800285698,0.12742086,0.127909003,0.110091457,0.131313131,0.021306312,0.149259565,0,0.443363319,0.980207565,1,0.089208084,0.082537768,0.060015399,0.001774791,0.08312159,0.232957593,0.593547249,0.040085497,0.660266963,0.113881184,0.004275388,0.211954853,0.00373266,0.116730738,0.722608348,0.266249711,0.114827758,0.478890722
ERR1742255,2.701630238,0.799367354,0.12742086,0.127909003,0.110091457,0.131313131,0.021306312,0.149259565,0,0.443363319,0.980207565,1,0.089208084,0.082537768,0.060015399,0.001774791,0.08312159,0.232957593,0.593547249,0.040085497,0.660266963,0.113881184,0.004275388,0.211954853,0.00373266,0.116730738,0.722608348,0.266249711,0.114827758,0.478890722
ERR1742256,2.701630238,0.827735834,0.12742086,0.127909003,0.110091457,0.131313131,0.021306312,0.149259565,0,0.443363319,0.980207565,1,0.089208084,0.082537768,0.060015399,0.001774791,0.08312159,0.232957593,0.593547249,0.040085497,0.660266963,0.113881184,0.004275388,0.211954853,0.00373266,0.116730738,0.722608348,0.266249711,0.114827758,0.478890722
ERR1742257,2.701630238,0.789162335,0.12742086,0.127909003,0.110091457,0.131313131,0.021306312,0.149259565,0,0.443363319,0.980207565,1,0.089208084,0.082537768,0.060015399,0.001774791,0.08312159,0.232957593,0.593547249,0.040085497,0.660266963,0.113881184,0.004275388,0.211954853,0.00373266,0.116730738,0.722608348,0.266249711,0.114827758,0.478890722
ERR1742258,2.701630238,0.766787818,0.12742086,0.127909003,0.110091457,0.131313131,0.021306312,0.149259565,0,0.443363319,0.980207565,1,0.089208084,0.082537768,0.060015399,0.001774791,0.08312159,0.232957593,0.593547249,0.040085497,0.660266963,0.113881184,0.004275388,0.211954853,0.00373266,0.116730738,0.722608348,0.266249711,0.114827758,0.478890722
ERR1742259,2.701630238,0.827697795,0.12742086,0.127909003,0.110091457,0.131313131,0.021306312,0.149259565,0,0.443363319,0.980207565,1,0.089208084,0.082537768,0.060015399,0.001774791,0.08312159,0.232957593,0.593547249,0.040085497,0.660266963,0.113881184,0.004275388,0.211954853,0.00373266,0.116730738,0.722608348,0.266249711,0.114827758,0.478890722
ERR1742260,2.701630238,1.043005999,0.12742086,0.127909003,0.110091457,0.131313131,0.021306312,0.149259565,0,0.443363319,0.980207565,1,0.089208084,0.082537768,0.060015399,0.001774791,0.08312159,0.232957593,0.593547249,0.040085497,0.660266963,0.113881184,0.004275388,0.211954853,0.00373266,0.116730738,0.722608348,0.266249711,0.114827758,0.478890722
ERR1742261,2.701630238,0.772238356,0.12742086,0.127909003,0.110091457,0.131313131,0.021306312,0.149259565,0,0.443363319,0.980207565,1,0.089208084,0.082537768,0.060015399,0.001774791,0.08312159,0.232957593,0.593547249,0.040085497,0.660266963,0.113881184,0.004275388,0.211954853,0.00373266,0.116730738,0.722608348,0.266249711,0.114827758,0.478890722
ERR1742262,2.701630238,0.971124296,0.12742086,0.127909003,0.110091457,0.131313131,0.021306312,0.149259565,0,0.443363319,0.980207565,1,0.089208084,0.082537768,0.060015399,0.001774791,0.08312159,0.232957593,0.593547249,0.040085497,0.660266963,0.113881184,0.004275388,0.211954853,0.00373266,0.116730738,0.722608348,0.266249711,0.114827758,0.478890722
ERR1742263,2.701630238,0.728801321,0.12742086,0.127909003,0.110091457,0.131313131,0.021306312,0.149259565,0,0.443363319,0.980207565,1,0.089208084,0.082537768,0.060015399,0.001774791,0.08312159,0.232957593,0.593547249,0.040085497,0.660266963,0.113881184,0.004275388,0.211954853,0.00373266,0.116730738,0.722608348,0.266249711,0.114827758,0.478890722
ERR1742264,2.701630238,0.906685398,0.12742086,0.127909003,0.110091457,0.131313131,0.021306312,0.149259565,0,0.443363319,0.980207565,1,0.089208084,0.082537768,0.060015399,0.001774791,0.08312159,0.232957593,0.593547249,0.040085497,0.660266963,0.113881184,0.004275388,0.211954853,0.00373266,0.116730738,0.722608348,0.266249711,0.114827758,0.478890722
ERR1742266,2.701630238,0.699157697,0.12742086,0.127909003,0.110091457,0.131313131,0.021306312,0.149259565,0,0.443363319,0.980207565,1,0.089208084,0.082537768,0.060015399,0.001774791,0.08312159,0.232957593,0.593547249,0.040085497,0.660266963,0.113881184,0.004275388,0.211954853,0.00373266,0.116730738,0.722608348,0.266249711,0.114827758,0.478890722
ERR1742267,2.701630238,0.771456115,0.12742086,0.127909003,0.110091457,0.131313131,0.021306312,0.149259565,0,0.443363319,0.980207565,1,0.089208084,0.082537768,0.060015399,0.001774791,0.08312159,0.232957593,0.593547249,0.040085497,0.660266963,0.113881184,0.004275388,0.211954853,0.00373266,0.116730738,0.722608348,0.266249711,0.114827758,0.478890722
